City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
291,kanniyakumari,8.0833,77.5667,28.77,58,9,6.97,IN,1676782621
292,kruisfontein,-34.0033,24.7314,17.16,76,9,1.41,ZA,1676782621
293,rafai,4.95,23.9167,19.46,31,84,2.02,CF,1676782622
294,mugur-aksy,50.35,90.5,-7.86,57,84,2.48,RU,1676782623
295,gilgit,35.9221,74.3087,9.29,76,90,1.28,PK,1676782624
296,kaitangata,-46.2817,169.8464,16.36,77,95,4.78,NZ,1676782626
297,skjervoy,70.0311,20.9714,-3.0,91,100,1.45,NO,1676782627
298,comodoro rivadavia,-45.8667,-67.5,18.92,42,0,8.23,AR,1676782628
299,rodrigues alves,-7.738,-72.6509,24.11,99,99,1.93,BR,1676782629
300,ixtapa,20.7,-105.2,22.35,82,1,0.85,MX,1676782424
301,lovozero,68.005,35.0117,-7.59,92,100,3.01,RU,1676782630
302,muravlenko,63.7898,74.523,-16.89,90,98,1.49,RU,1676782631
303,maarianhamina,60.0973,19.9348,0.92,69,100,8.23,AX,1676782632
304,monrovia,6.3005,-10.7969,25.09,92,7,2.7,LR,1676782633
305,bonfim,3.0833,-59.95,25.83,68,93,4.9,BR,1676782634
306,maldonado,-34.6667,-54.9167,15.08,59,0,2.5,UY,1676782527
307,lukovetskiy,64.2956,41.9211,-13.68,95,82,3.02,RU,1676782635
308,la asuncion,11.0333,-63.8628,23.85,88,0,3.6,VE,1676782636
309,guarapari,-20.6667,-40.4975,24.38,92,32,3.05,BR,1676782637
310,aripuana,-9.1667,-60.6333,22.01,99,100,0.85,BR,1676782638
311,cap malheureux,-19.9842,57.6142,27.48,74,64,2.68,MU,1676782639
312,atar,20.5169,-13.0499,23.72,18,96,4.01,MR,1676782640
313,mehamn,71.0357,27.8492,-1.03,80,100,1.54,NO,1676782641
314,bridlington,54.0831,-0.1919,8.27,87,98,4.94,GB,1676782644
315,salaverry,-8.2333,-78.9667,23.21,81,100,2.43,PE,1676782645
316,bathsheba,13.2167,-59.5167,24.34,88,75,9.77,BB,1676782645
317,katesh,-4.5167,35.3833,16.35,71,91,2.06,TZ,1676782646
318,shimoda,34.6667,138.95,17.2,90,100,13.05,JP,1676782647
319,yenangyaung,20.4667,94.8833,30.37,17,0,2.05,MM,1676782648
320,morogoro,-6.8167,37.6667,24.1,83,40,3.09,TZ,1676782649
321,sungairaya,0.7,108.9,29.45,68,80,4.51,ID,1676782651
322,half moon bay,37.4636,-122.4286,12.95,61,40,4.12,US,1676782652
323,yarensk,62.1675,49.0916,-22.37,100,100,1.27,RU,1676782653
324,cananea,30.95,-110.3,10.75,49,46,0.97,MX,1676782473
325,ayr,55.4627,-4.6339,5.99,87,20,2.57,GB,1676782654
326,harper,4.375,-7.7169,25.72,89,8,1.19,LR,1676782655
327,mangrol,21.1167,70.1167,29.09,31,2,2.35,IN,1676782656
328,zhezkazgan,47.8043,67.7144,-20.01,84,75,2.0,KZ,1676782657
329,guamuchil,25.4667,-108.1,16.71,54,100,1.1,MX,1676782657
330,namatanai,-3.6667,152.4333,28.08,74,100,2.65,PG,1676782658
331,south sioux city,42.4739,-96.4136,1.97,71,0,3.09,US,1676782660
332,gasa,31.5,34.4667,11.76,78,2,3.71,PS,1676782660
333,beyneu,45.3167,55.2,1.03,88,93,4.73,KZ,1676782661
334,port hedland,-20.3167,118.5667,37.03,49,77,6.17,AU,1676782610
335,alice springs,-23.7,133.8833,33.75,40,75,10.8,AU,1676782663
336,fallon,39.4735,-118.7774,3.29,60,0,2.57,US,1676782663
337,klyuchevskiy,53.5317,119.4519,-11.76,64,100,4.57,RU,1676782664
338,volsk,52.0333,47.3833,-12.24,97,100,3.97,RU,1676782665
339,ewo,-0.8725,14.8206,22.89,44,98,1.57,CG,1676782665
340,guerrero negro,27.9769,-114.0611,15.07,71,100,2.8,MX,1676782666
341,salinas,36.6777,-121.6555,11.45,61,0,1.54,US,1676782404
342,kemijarvi,66.7131,27.4306,-6.13,95,100,2.94,FI,1676782667
343,maceio,-9.6658,-35.7353,23.69,94,0,1.03,BR,1676782668
344,antofagasta,-23.65,-70.4,21.6,83,29,1.13,CL,1676782370
345,mabaruma,8.2,-59.7833,20.88,89,6,1.4,GY,1676782669
346,flin flon,54.7682,-101.865,-31.17,100,39,1.83,CA,1676782670
347,rio gallegos,-51.6226,-69.2181,9.03,81,75,1.54,AR,1676782670
348,kupang,-10.1667,123.5833,33.32,66,40,5.14,ID,1676782671
349,pangoa,-12.1167,-73.0,19.17,100,100,0.39,PE,1676782672
350,ancud,-41.8697,-73.8203,13.01,90,87,0.44,CL,1676782673
351,souillac,-20.5167,57.5167,26.21,94,75,4.63,MU,1676782673
352,esso,55.9333,158.7,-18.59,93,89,1.03,RU,1676782674
353,hofn,64.2539,-15.2082,3.8,98,100,6.75,IS,1676782675
354,yerofey pavlovich,53.9667,121.9667,-11.38,64,100,4.02,RU,1676782675
355,kurchum,48.5722,83.6542,-10.25,81,100,2.57,KZ,1676782676
356,northam,51.0333,-4.2167,8.55,93,99,3.65,GB,1676782677
357,ivdel,60.6911,60.4206,-19.01,100,100,0.82,RU,1676782678
358,faranah,10.0404,-10.7434,21.9,21,91,1.46,GN,1676782678
359,wagar,16.1525,36.2032,20.17,80,0,4.18,SD,1676782679
360,arman,59.7,150.1667,-17.73,78,0,1.99,RU,1676782680
361,bilma,18.6853,12.9164,13.25,25,4,2.87,NE,1676782681
